Tab-delimited Protein to Protein Blast Summary:
Query database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/GCF_005190385.1_NGI_Narwhal_1_protein_subset.fasta
Hit database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/2019.06_UP000005640_9606_Homo_sapiens_canonical.fasta


query_number	query_acc	query_desc	hit_acc	hit_desc	blast_scores	match_status	query_aa	hit_aa	alignment_aa	identity_aa	positive_aa	pc_identity	pc_postive	bit_score
11	XP_029058715.1	complement component C8 gamma chain isoform X1 [Monodon monoceros]	sp|P07360|CO8G_HUMAN	Complement component C8 gamma chain OS=Homo sapiens OX=9606 GN=C8G PE=1 SV=3	ident:168/321 pos:179/321 query:321 hit:202 align:202 bit:320.5	OK	321	202	202	168	179	52.3	55.8	320.5
12	XP_029058726.1	haptoglobin-like [Monodon monoceros]	sp|P00738|HPT_HUMAN	Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1	ident:260/345 pos:287/345 query:345 hit:406 align:318 bit:553.9	OK	345	406	318	260	287	75.4	83.2	553.9
13	XP_029058935.1	alpha-1-acid glycoprotein-like [Monodon monoceros]	sp|P19652|A1AG2_HUMAN	Alpha-1-acid glycoprotein 2 OS=Homo sapiens OX=9606 GN=ORM2 PE=1 SV=2	ident:120/202 pos:144/202 query:202 hit:201 align:199 bit:231.1	OK	202	201	199	120	144	59.4	71.3	231.1
14	XP_029058938.1	clusterin [Monodon monoceros]	sp|P10909|CLUS_HUMAN	Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1	ident:318/441 pos:376/441 query:441 hit:449 align:448 bit:638.6	OK	441	449	448	318	376	72.1	85.3	638.6
15	XP_029059146.1	endoplasmic reticulum chaperone BiP [Monodon monoceros]	sp|P11021|BIP_HUMAN	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	ident:645/655 pos:650/655 query:655 hit:654 align:655 bit:1304.7	OK	655	654	655	645	650	98.5	99.2	1304.7
16	XP_029059228.1	protein AMBP [Monodon monoceros]	sp|P02760|AMBP_HUMAN	Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1	ident:270/352 pos:299/352 query:352 hit:352 align:336 bit:581.3	OK	352	352	336	270	299	76.7	84.9	581.3
17	XP_029059244.1	thioredoxin [Monodon monoceros]	sp|P10599|THIO_HUMAN	Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	ident:98/105 pos:104/105 query:105 hit:105 align:105 bit:205.7	OK	105	105	105	98	104	93.3	99.0	205.7
18	XP_029059289.1	folate receptor alpha-like, partial [Monodon monoceros]	sp|P15328|FOLR1_HUMAN	Folate receptor alpha OS=Homo sapiens OX=9606 GN=FOLR1 PE=1 SV=3	ident:174/220 pos:185/220 query:220 hit:257 align:207 bit:374.0	OK	220	257	207	174	185	79.1	84.1	374.0
19	XP_029059330.1	beta-lactoglobulin-2-like [Monodon monoceros]	sp|P09466|PAEP_HUMAN	Glycodelin OS=Homo sapiens OX=9606 GN=PAEP PE=1 SV=2	ident:81/188 pos:117/188 query:188 hit:180 align:188 bit:163.7	OK	188	180	188	81	117	43.1	62.2	163.7
20	XP_029059353.1	tubulin beta-4B chain [Monodon monoceros]	sp|P68371|TBB4B_HUMAN	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	ident:445/445 pos:445/445 query:445 hit:445 align:445 bit:936.4	OK	445	445	445	445	445	100.0	100.0	936.4
21	XP_029059455.1	LOW QUALITY PROTEIN: hemicentin-2 [Monodon monoceros]	sp|Q8NDA2|HMCN2_HUMAN	Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=2 SV=3	ident:4311/5072 pos:4616/5072 query:5072 hit:5059 align:5079 bit:8723.2	OK	5072	5059	5079	4311	4616	85.0	91.0	8723.2
22	XP_029059978.1	lysozyme C [Monodon monoceros]	sp|P61626|LYSC_HUMAN	Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1	ident:119/168 pos:135/168 query:168 hit:148 align:148 bit:260.4	OK	168	148	148	119	135	70.8	80.4	260.4
23	XP_029060196.1	von Willebrand factor isoform X1 [Monodon monoceros]	sp|P04275|VWF_HUMAN	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	ident:2325/2804 pos:2554/2804 query:2804 hit:2813 align:2813 bit:4846.2	OK	2804	2813	2813	2325	2554	82.9	91.1	4846.2
24	XP_029060223.1	bridging integrator 2 isoform X1 [Monodon monoceros]	sp|Q9UBW5|BIN2_HUMAN	Bridging integrator 2 OS=Homo sapiens OX=9606 GN=BIN2 PE=1 SV=3	ident:430/538 pos:464/538 query:538 hit:565 align:555 bit:751.5	OK	538	565	555	430	464	79.9	86.2	751.5
25	XP_029060313.1	tubulin alpha-1B chain isoform X3 [Monodon monoceros]	sp|P68363|TBA1B_HUMAN	Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1	ident:451/451 pos:451/451 query:451 hit:451 align:451 bit:945.3	OK	451	451	451	451	451	100.0	100.0	945.3
26	XP_029060339.1	ADP-ribosylation factor 3 isoform X1 [Monodon monoceros]	sp|P61204|ARF3_HUMAN	ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2	ident:180/208 pos:180/208 query:208 hit:181 align:180 bit:371.3	OK	208	181	180	180	180	86.5	86.5	371.3
27	XP_029060424.1	ras-related protein Rap-1b [Monodon monoceros]	sp|P61224|RAP1B_HUMAN	Ras-related protein Rap-1b OS=Homo sapiens OX=9606 GN=RAP1B PE=1 SV=1	ident:184/184 pos:184/184 query:184 hit:184 align:184 bit:379.8	OK	184	184	184	184	184	100.0	100.0	379.8
28	XP_029060634.1	alpha-2-macroglobulin-like isoform X1 [Monodon monoceros]	sp|P01023|A2MG_HUMAN	Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	ident:1190/1479 pos:1306/1479 query:1479 hit:1474 align:1458 bit:2449.1	OK	1479	1474	1458	1190	1306	80.5	88.3	2449.1
29	XP_029060673.1	glyceraldehyde-3-phosphate dehydrogenase [Monodon monoceros]	sp|P04406|G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	ident:316/333 pos:323/333 query:333 hit:335 align:332 bit:652.9	OK	333	335	332	316	323	94.9	97.0	652.9
30	XP_029060825.1	pregnancy zone protein-like [Monodon monoceros]	sp|P01023|A2MG_HUMAN	Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	ident:911/1486 pos:1132/1486 query:1486 hit:1474 align:1472 bit:1820.8	OK	1486	1474	1472	911	1132	61.3	76.2	1820.8
31	XP_029061127.1	rho GDP-dissociation inhibitor 2 [Monodon monoceros]	sp|P52566|GDIR2_HUMAN	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens OX=9606 GN=ARHGDIB PE=1 SV=3	ident:180/199 pos:189/199 query:199 hit:201 align:201 bit:360.1	OK	199	201	201	180	189	90.5	95.0	360.1
32	XP_029061157.1	fibulin-1 isoform X1 [Monodon monoceros]	sp|P23142|FBLN1_HUMAN	Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4	ident:636/705 pos:664/705 query:705 hit:703 align:706 bit:1269.6	OK	705	703	706	636	664	90.2	94.2	1269.6
33	XP_029061159.1	L-lactate dehydrogenase B chain [Monodon monoceros]	sp|P07195|LDHB_HUMAN	L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2	ident:330/334 pos:333/334 query:334 hit:334 align:334 bit:674.1	OK	334	334	334	330	333	98.8	99.7	674.1
34	XP_029061188.1	contactin-1 isoform X1 [Monodon monoceros]	sp|Q12860|CNTN1_HUMAN	Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1	ident:975/1018 pos:995/1018 query:1018 hit:1018 align:1018 bit:1992.2	OK	1018	1018	1018	975	995	95.8	97.7	1992.2
35	XP_029061370.1	lumican [Monodon monoceros]	sp|P51884|LUM_HUMAN	Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2	ident:304/340 pos:326/340 query:340 hit:338 align:340 bit:620.2	OK	340	338	340	304	326	89.4	95.9	620.2
36	XP_029061405.1	myoglobin [Monodon monoceros]	sp|P02144|MYG_HUMAN	Myoglobin OS=Homo sapiens OX=9606 GN=MB PE=1 SV=2	ident:135/154 pos:146/154 query:154 hit:154 align:154 bit:280.4	OK	154	154	154	135	146	87.7	94.8	280.4
37	XP_029061472.1	insulin-like growth factor-binding protein 6 [Monodon monoceros]	sp|P24592|IBP6_HUMAN	Insulin-like growth factor-binding protein 6 OS=Homo sapiens OX=9606 GN=IGFBP6 PE=1 SV=1	ident:208/236 pos:217/236 query:236 hit:240 align:240 bit:382.1	OK	236	240	240	208	217	88.1	91.9	382.1
38	XP_029061483.1	complement C1r subcomponent isoform X1 [Monodon monoceros]	sp|P00736|C1R_HUMAN	Complement C1r subcomponent OS=Homo sapiens OX=9606 GN=C1R PE=1 SV=2	ident:599/713 pos:656/713 query:713 hit:705 align:704 bit:1291.2	OK	713	705	704	599	656	84.0	92.0	1291.2
39	XP_029061531.1	complement C1s subcomponent [Monodon monoceros]	sp|P09871|C1S_HUMAN	Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1	ident:550/695 pos:607/695 query:695 hit:688 align:686 bit:1159.4	OK	695	688	686	550	607	79.1	87.3	1159.4
40	XP_029061878.1	LOW QUALITY PROTEIN: apolipoprotein F [Monodon monoceros]	sp|Q13790|APOF_HUMAN	Apolipoprotein F OS=Homo sapiens OX=9606 GN=APOF PE=1 SV=2	ident:212/314 pos:242/314 query:314 hit:326 align:312 bit:380.9	OK	314	326	312	212	242	67.5	77.1	380.9
41	XP_029061943.1	chondroadherin-like protein isoform X1 [Monodon monoceros]	sp|Q6NUI6|CHADL_HUMAN	Chondroadherin-like protein OS=Homo sapiens OX=9606 GN=CHADL PE=1 SV=2	ident:605/807 pos:640/807 query:807 hit:762 align:724 bit:1117.1	OK	807	762	724	605	640	75.0	79.3	1117.1
42	XP_029062117.1	triosephosphate isomerase [Monodon monoceros]	sp|P60174|TPIS_HUMAN	Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3	ident:265/286 pos:270/286 query:286 hit:286 align:286 bit:540.0	OK	286	286	286	265	270	92.7	94.4	540.0
43	XP_029062227.1	spindle and kinetochore-associated protein 1 [Monodon monoceros]	sp|Q96BD8|SKA1_HUMAN	Spindle and kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=SKA1 PE=1 SV=1	ident:220/255 pos:239/255 query:255 hit:255 align:255 bit:463.0	OK	255	255	255	220	239	86.3	93.7	463.0
44	XP_029062696.1	beta-1,4-glucuronyltransferase 1 [Monodon monoceros]	sp|O43505|B4GA1_HUMAN	Beta-1,4-glucuronyltransferase 1 OS=Homo sapiens OX=9606 GN=B4GAT1 PE=1 SV=1	ident:406/415 pos:409/415 query:415 hit:415 align:415 bit:844.7	OK	415	415	415	406	409	97.8	98.6	844.7
45	XP_029062805.1	autophagy-related protein 16-2 isoform X1 [Monodon monoceros]	sp|Q8NAA4|A16L2_HUMAN	Autophagy-related protein 16-2 OS=Homo sapiens OX=9606 GN=ATG16L2 PE=1 SV=2	ident:549/620 pos:572/620 query:620 hit:619 align:620 bit:1076.2	OK	620	619	620	549	572	88.5	92.3	1076.2
46	XP_029062883.1	apolipoprotein A-IV [Monodon monoceros]	sp|P06727|APOA4_HUMAN	Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=3	ident:295/380 pos:328/380 query:380 hit:396 align:372 bit:592.0	OK	380	396	372	295	328	77.6	86.3	592.0
47	XP_029063018.1	L-lactate dehydrogenase A chain [Monodon monoceros]	sp|P00338|LDHA_HUMAN	L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	ident:307/418 pos:322/418 query:418 hit:332 align:332 bit:642.5	OK	418	332	332	307	322	73.4	77.0	642.5
48	XP_029063525.1	apolipoprotein C-II [Monodon monoceros]	sp|P02655|APOC2_HUMAN	Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1	ident:71/101 pos:83/101 query:101 hit:101 align:101 bit:129.8	OK	101	101	101	71	83	70.3	82.2	129.8
49	XP_029063744.1	pepsin A-5 [Monodon monoceros]	sp|P0DJD9|PEPA5_HUMAN	Pepsin A-5 OS=Homo sapiens OX=9606 GN=PGA5 PE=1 SV=1	ident:319/387 pos:345/387 query:387 hit:388 align:388 bit:638.6	OK	387	388	388	319	345	82.4	89.1	638.6
50	XP_029063810.1	heat shock cognate 71 kDa protein [Monodon monoceros]	sp|P11142|HSP7C_HUMAN	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	ident:646/650 pos:646/650 query:650 hit:646 align:650 bit:1320.5	OK	650	646	650	646	646	99.4	99.4	1320.5
51	XP_029063884.1	dipeptidyl peptidase 1 isoform X1 [Monodon monoceros]	sp|P53634|CATC_HUMAN	Dipeptidyl peptidase 1 OS=Homo sapiens OX=9606 GN=CTSC PE=1 SV=2	ident:402/463 pos:423/463 query:463 hit:463 align:463 bit:836.3	OK	463	463	463	402	423	86.8	91.4	836.3
52	XP_029064161.1	plasma protease C1 inhibitor [Monodon monoceros]	sp|P05155|IC1_HUMAN	Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2	ident:342/479 pos:381/479 query:479 hit:500 align:500 bit:605.1	OK	479	500	500	342	381	71.4	79.5	605.1
53	XP_029064259.1	fermitin family homolog 3 [Monodon monoceros]	sp|Q86UX7|URP2_HUMAN	Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1	ident:640/663 pos:648/663 query:663 hit:667 align:667 bit:1320.8	OK	663	667	667	640	648	96.5	97.7	1320.8
54	XP_029064399.1	calmodulin-3 isoform X2 [Monodon monoceros]	sp|P0DP25|CALM3_HUMAN	Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1	ident:149/149 pos:149/149 query:149 hit:149 align:149 bit:298.9	OK	149	149	149	149	149	100.0	100.0	298.9
55	XP_029064407.1	hephaestin-like protein 1 isoform X1 [Monodon monoceros]	sp|Q6MZM0|HPHL1_HUMAN	Hephaestin-like protein 1 OS=Homo sapiens OX=9606 GN=HEPHL1 PE=2 SV=2	ident:1033/1160 pos:1092/1160 query:1160 hit:1159 align:1160 bit:2152.1	OK	1160	1159	1160	1033	1092	89.1	94.1	2152.1
56	XP_029064419.1	prothrombin [Monodon monoceros]	sp|P00734|THRB_HUMAN	Prothrombin OS=Homo sapiens OX=9606 GN=F2 PE=1 SV=2	ident:519/623 pos:563/623 query:623 hit:622 align:622 bit:1094.3	OK	623	622	622	519	563	83.3	90.4	1094.3
57	XP_029064606.1	hemopexin [Monodon monoceros]	sp|P02790|HEMO_HUMAN	Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2	ident:350/455 pos:381/455 query:455 hit:462 align:464 bit:720.7	OK	455	462	464	350	381	76.9	83.7	720.7
58	XP_029064693.1	glutathione S-transferase P [Monodon monoceros]	sp|P09211|GSTP1_HUMAN	Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2	ident:180/208 pos:197/208 query:208 hit:210 align:210 bit:377.5	OK	208	210	210	180	197	86.5	94.7	377.5
59	XP_029064746.1	cofilin-1 [Monodon monoceros]	sp|P23528|COF1_HUMAN	Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3	ident:164/166 pos:164/166 query:166 hit:166 align:166 bit:331.3	OK	166	166	166	164	164	98.8	98.8	331.3
60	XP_029064975.1	4F2 cell-surface antigen heavy chain [Monodon monoceros]	sp|P08195|4F2_HUMAN	4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3	ident:442/572 pos:478/572 query:572 hit:630 align:536 bit:842.8	OK	572	630	536	442	478	77.3	83.6	842.8
61	XP_029065213.1	alpha-1-antitrypsin-like [Monodon monoceros]	sp|P01009|A1AT_HUMAN	Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3	ident:306/421 pos:363/421 query:421 hit:418 align:421 bit:644.0	OK	421	418	421	306	363	72.7	86.2	644.0
62	XP_029065334.1	LOW QUALITY PROTEIN: serum amyloid A protein-like [Monodon monoceros]	sp|P0DJI8|SAA1_HUMAN	Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=1	ident:90/135 pos:98/135 query:135 hit:122 align:135 bit:165.2	OK	135	122	135	90	98	66.7	72.6	165.2
63	XP_029065335.1	serum amyloid A-2 protein-like [Monodon monoceros]	sp|P0DJI8|SAA1_HUMAN	Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=1	ident:93/130 pos:104/130 query:130 hit:122 align:130 bit:187.6	OK	130	122	130	93	104	71.5	80.0	187.6
64	XP_029065336.1	apolipoprotein A-I [Monodon monoceros]	sp|P02647|APOA1_HUMAN	Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1	ident:211/265 pos:238/265 query:265 hit:267 align:267 bit:430.6	OK	265	267	267	211	238	79.6	89.8	430.6
65	XP_029065345.1	apolipoprotein C-III [Monodon monoceros]	sp|P02656|APOC3_HUMAN	Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1	ident:81/99 pos:83/99 query:99 hit:99 align:99 bit:121.7	OK	99	99	99	81	83	81.8	83.8	121.7
66	XP_029065711.1	plastin-2 [Monodon monoceros]	sp|P13796|PLSL_HUMAN	Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6	ident:603/627 pos:621/627 query:627 hit:627 align:627 bit:1254.6	OK	627	627	627	603	621	96.2	99.0	1254.6
67	XP_029065812.1	periostin isoform X1 [Monodon monoceros]	sp|Q15063|POSTN_HUMAN	Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2	ident:741/781 pos:763/781 query:781 hit:836 align:836 bit:1498.4	OK	781	836	836	741	763	94.9	97.7	1498.4
68	XP_029065975.1	nectin-2 isoform X1 [Monodon monoceros]	sp|Q92692|NECT2_HUMAN	Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	ident:426/539 pos:468/539 query:539 hit:538 align:541 bit:739.6	OK	539	538	541	426	468	79.0	86.8	739.6
69	XP_029066122.1	lysosome-associated membrane glycoprotein 1 isoform X1 [Monodon monoceros]	sp|P11279|LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3	ident:298/411 pos:342/411 query:411 hit:417 align:417 bit:544.7	OK	411	417	417	298	342	72.5	83.2	544.7
70	XP_029066215.1	apolipoprotein E [Monodon monoceros]	sp|P02649|APOE_HUMAN	Apolipoprotein E OS=Homo sapiens OX=9606 GN=APOE PE=1 SV=1	ident:235/316 pos:273/316 query:316 hit:317 align:320 bit:430.3	OK	316	317	320	235	273	74.4	86.4	430.3
71	XP_029066247.1	coagulation factor X isoform X1 [Monodon monoceros]	sp|P00742|FA10_HUMAN	Coagulation factor X OS=Homo sapiens OX=9606 GN=F10 PE=1 SV=2	ident:329/480 pos:381/480 query:480 hit:488 align:446 bit:698.4	OK	480	488	446	329	381	68.5	79.4	698.4
72	XP_029066311.1	flavin reductase (NADPH) [Monodon monoceros]	sp|P30043|BLVRB_HUMAN	Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3	ident:190/206 pos:202/206 query:206 hit:206 align:205 bit:394.0	OK	206	206	205	190	202	92.2	98.1	394.0
73	XP_029066312.1	carboxypeptidase B2 [Monodon monoceros]	sp|Q96IY4|CBPB2_HUMAN	Carboxypeptidase B2 OS=Homo sapiens OX=9606 GN=CPB2 PE=1 SV=2	ident:352/423 pos:379/423 query:423 hit:423 align:423 bit:742.3	OK	423	423	423	352	379	83.2	89.6	742.3
74	XP_029066317.1	endothelin receptor type B [Monodon monoceros]	sp|P24530|EDNRB_HUMAN	Endothelin receptor type B OS=Homo sapiens OX=9606 GN=EDNRB PE=1 SV=1	ident:403/443 pos:417/443 query:443 hit:442 align:443 bit:827.0	OK	443	442	443	403	417	91.0	94.1	827.0
75	XP_029066423.1	coagulation factor VII [Monodon monoceros]	sp|P08709|FA7_HUMAN	Coagulation factor VII OS=Homo sapiens OX=9606 GN=F7 PE=1 SV=1	ident:310/447 pos:356/447 query:447 hit:466 align:422 bit:665.2	OK	447	466	422	310	356	69.4	79.6	665.2
76	XP_029066498.1	C-C motif chemokine 14-like [Monodon monoceros]	sp|Q16627|CCL14_HUMAN	C-C motif chemokine 14 OS=Homo sapiens OX=9606 GN=CCL14 PE=1 SV=1	ident:62/96 pos:73/96 query:96 hit:93 align:95 bit:127.5	OK	96	93	95	62	73	64.6	76.0	127.5
77	XP_029066990.1	platelet glycoprotein Ib alpha chain [Monodon monoceros]	sp|P07359|GP1BA_HUMAN	Platelet glycoprotein Ib alpha chain OS=Homo sapiens OX=9606 GN=GP1BA PE=1 SV=2	ident:363/576 pos:412/576 query:576 hit:652 align:642 bit:596.7	OK	576	652	642	363	412	63.0	71.5	596.7
78	XP_029067045.1	profilin-1 [Monodon monoceros]	sp|P07737|PROF1_HUMAN	Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2	ident:126/140 pos:134/140 query:140 hit:140 align:140 bit:271.2	OK	140	140	140	126	134	90.0	95.7	271.2
79	XP_029067304.1	vitronectin [Monodon monoceros]	sp|P04004|VTNC_HUMAN	Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1	ident:356/481 pos:384/481 query:481 hit:478 align:461 bit:725.3	OK	481	478	461	356	384	74.0	79.8	725.3
80	XP_029067342.1	alpha-2-antiplasmin isoform X2 [Monodon monoceros]	sp|P08697|A2AP_HUMAN	Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3	ident:407/494 pos:435/494 query:494 hit:491 align:494 bit:811.6	OK	494	491	494	407	435	82.4	88.1	811.6
81	XP_029067399.1	beta-lactoglobulin-1A/1C-like, partial [Monodon monoceros]	sp|P09466|PAEP_HUMAN	Glycodelin OS=Homo sapiens OX=9606 GN=PAEP PE=1 SV=2	ident:52/200 pos:78/200 query:200 hit:180 align:103 bit:114.4	Poor_match	200	180	103	52	78	26.0	39.0	114.4
82	XP_029067539.1	cadherin-5 [Monodon monoceros]	sp|P33151|CADH5_HUMAN	Cadherin-5 OS=Homo sapiens OX=9606 GN=CDH5 PE=1 SV=5	ident:640/782 pos:706/782 query:782 hit:784 align:786 bit:1270.8	OK	782	784	786	640	706	81.8	90.3	1270.8
83	XP_029067654.1	dynein heavy chain 9, axonemal [Monodon monoceros]	sp|Q9NYC9|DYH9_HUMAN	Dynein heavy chain 9, axonemal OS=Homo sapiens OX=9606 GN=DNAH9 PE=1 SV=3	ident:3958/4486 pos:4208/4486 query:4486 hit:4486 align:4473 bit:8257.9	OK	4486	4486	4473	3958	4208	88.2	93.8	8257.9
